gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound
ENSG00000088881.16	"ENST00000342725.5,ENST00000380648.4,ENST00000449079.3,ENST00000463145.2,ENST00000469215.1,ENST00000477287.1,ENST00000481662.1,ENST00000491472.2,ENST00000497450.1,ENST00000609451.1,ENST00000609967.1"	1592.18	1344.17	0	0	0	0	0	0.5	0.5	0.0931064	1.1078	0.0929965	1.11867
ENSG00000266463.1	ENST00000579556.1	64	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266104.1	ENST00000582203.1	59	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222439.1	ENST00000410507.1	111	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203900.2	"ENST00000370257.1,ENST00000428531.1"	1888.5	1640.46	0	0	0	0	0	0.05	0.05	0.00011931	0.151814	0.000134014	0.153442
ENSG00000226390.1	ENST00000436263.1	789	540.93	0	0	0	0	0	0.02	0.02	1.72E-07	0.0714493	1.74E-07	0.0722271
ENSG00000230226.1	ENST00000458368.1	376	128.1	0	0	0	0	0	0.1	0.1	1.07E-06	0.304057	1.09E-06	0.307292
ENSG00000101162.3	ENST00000217133.1	3496	3247.92	546	2.22	2.22	546	0	2.19	2.22	2.00985	2.37719	2.03097	2.40239
ENSG00000232442.1	"ENST00000411579.1,ENST00000449500.1"	733.1	485.04	538	14.65	14.63	538	0	14.51	14.66	13.1855	15.7896	13.3333	15.9661
ENSG00000229299.2	"ENST00000433905.2,ENST00000447343.2"	464	216.02	12	0.73	0.73	12	0	1.39	1.4	0.445975	2.66042	0.450685	2.6893
ENSG00000231208.4	ENST00000435912.1	533	284.98	0	0	0	0	0	0.05	0.05	6.77E-07	0.138083	6.84E-07	0.13954
ENSG00000199805.1	ENST00000362935.1	165	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216141.2	ENST00000401322.2	117	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216195.2	ENST00000401376.2	117	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101457.8	"ENST00000372622.3,ENST00000415790.1,ENST00000435014.1,ENST00000449078.1,ENST00000456939.1,ENST00000467701.1"	1277.62	1029.54	3402	43.65	43.58	3402	0	43.28	43.72	41.7812	44.7759	42.2385	45.2661
ENSG00000215946.2	ENST00000401127.2	117	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272045.1	ENST00000607800.1	80	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207554.1	ENST00000384823.1	96	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211588.1	ENST00000390233.1	143	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230750.1	ENST00000441308.1	2028	1779.92	1	0.01	0.01	1	0	0.01	0.01	0.000449724	0.0351232	0.000389569	0.0354398
ENSG00000196421.3	"ENST00000358393.1,ENST00000431158.1,ENST00000444463.1,ENST00000463337.1"	3245.73	2997.65	105	0.46	0.46	105	0	0.5	0.5	0.382012	0.613866	0.38692	0.621308
ENSG00000124172.5	"ENST00000243997.3,ENST00000395659.1,ENST00000395663.1"	3558.92	3310.84	20226	80.7	80.57	20226	0	79.59	80.42	78.4491	80.7245	79.2969	81.5968
ENSG00000235036.3	"ENST00000261752.5,ENST00000456064.1"	785.54	537.47	44.4	1.09	1.09	44.4	0.68	1.1	1.11	0.788109	1.44197	0.796792	1.45782
ENSG00000270408.1	ENST00000488480.1	568	319.97	0	0	0	0	0	0.04	0.04	2.47E-07	0.12226	2.50E-07	0.123571
ENSG00000237371.1	ENST00000455524.1	188	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270792.1	"ENST00000603180.1,ENST00000603462.1,ENST00000603985.1,ENST00000605292.1"	521.5	273.49	0	0	0	0	0	0.19	0.2	0.0358782	0.387775	0.0362793	0.392072
ENSG00000232852.1	ENST00000447359.1	2812	2563.92	0	0	0	0	0	0.01	0.01	3.18E-09	0.0151568	3.21E-09	0.0153253
ENSG00000224961.1	ENST00000417299.1	438	190.04	0	0	0	0	0	0.07	0.07	1.35E-06	0.205847	1.36E-06	0.208107
ENSG00000149656.4	"ENST00000279067.3,ENST00000425473.1,ENST00000445252.1"	928	679.92	7.6	0.15	0.15	6.48	2.62	0.23	0.24	0.0646306	0.42849	0.0654261	0.433237
ENSG00000234900.1	ENST00000418690.1	729	480.94	0	0	0	0	0	0.03	0.03	7.40E-08	0.0819924	7.48E-08	0.0828831
ENSG00000232900.1	ENST00000448859.1	2006	1757.92	0	0	0	0	0	0.01	0.01	9.11E-09	0.0222176	9.21E-09	0.0224581
ENSG00000217809.1	ENST00000406588.1	507	259	0	0	0	0	0	0.05	0.05	1.47E-06	0.15067	1.49E-06	0.152289
ENSG00000270777.1	ENST00000605338.1	460	212.02	0	0	0	0	0	0.06	0.06	6.52E-06	0.18539	6.59E-06	0.187402
ENSG00000230990.1	"ENST00000412405.1,ENST00000444792.1"	759.5	511.49	0	0	0	0	0	0.09	0.09	0.000724945	0.251254	0.000732706	0.253909
ENSG00000235544.1	ENST00000451072.1	473	225.01	0	0	0	0	0	0.06	0.06	2.78E-07	0.17287	2.81E-07	0.174792
ENSG00000271397.1	ENST00000603272.1	613	364.96	0	0	0	0	0	0.04	0.04	1.15E-06	0.1065	1.16E-06	0.10767
ENSG00000237256.1	ENST00000437662.1	427	179.05	0	0	0	0	0	0.07	0.07	6.79E-06	0.216406	9.55E-06	0.21876
ENSG00000261411.1	ENST00000569833.1	2180	1931.92	0	0	0	0	0	0.01	0.01	2.24E-08	0.0201647	2.27E-08	0.0203822
ENSG00000228422.3	"ENST00000427835.2,ENST00000557899.1,ENST00000558175.1"	581.33	333.31	0	0	0	0	0	0.12	0.13	0.0120582	0.268857	0.0121821	0.271765
ENSG00000256874.1	ENST00000544332.1	282	35.06	0	0	0	0	0	0.37	0.38	4.08E-06	1.12897	4.13E-06	1.14144
ENSG00000222281.1	ENST00000410349.1	271	25.5	0	0	0	0	0	0.51	0.52	1.49E-05	1.5464	1.50E-05	1.56369
ENSG00000271298.1	ENST00000605565.1	220	1.95	0	0	0	0	0	6.67	6.74	2.39E-06	20.0684	2.42E-06	20.2909
ENSG00000236526.1	ENST00000439529.1	1831	1582.92	0	0	0	0	0	0.01	0.01	2.89E-08	0.0246611	2.92E-08	0.0249289
ENSG00000235292.1	ENST00000455132.1	280	33.25	0	0	0	0	0	0.39	0.4	2.01E-05	1.18118	2.03E-05	1.1942
ENSG00000230437.1	ENST00000442389.1	473	225.01	0	0	0	0	0	0.06	0.06	3.07E-07	0.173362	3.11E-07	0.175225
ENSG00000235698.1	ENST00000414718.1	1200	951.92	1	0.01	0.01	1	0	0.03	0.03	0.000672597	0.0653573	0.000679754	0.0660828
ENSG00000175063.12	"ENST00000243893.6,ENST00000335046.3,ENST00000352551.5,ENST00000356455.4,ENST00000372568.4,ENST00000405520.1,ENST00000496085.1"	1133.24	885.18	90	1.34	1.34	90	0	1.59	1.61	1.18086	2.05657	1.19373	2.07876
ENSG00000233048.1	ENST00000456265.1	3033	2784.92	0	0	0	0	0	0	0	4.30E-07	0.0140364	1.89E-07	0.0141884
ENSG00000269931.1	ENST00000602702.1	907	658.92	0	0	0	0	0	0.02	0.02	9.92E-07	0.0591838	1.00E-06	0.0598406
ENSG00000124091.5	ENST00000243913.4	2064	1815.92	0	0	0	0	0	0.01	0.01	1.82E-07	0.0215278	1.84E-07	0.021757
ENSG00000234265.1	ENST00000432244.1	601	352.96	0	0	0	0	0	0.04	0.04	1.67E-07	0.110692	1.69E-07	0.111901
ENSG00000101166.11	"ENST00000355937.4,ENST00000371033.5,ENST00000463057.1,ENST00000466051.1"	2140.54	1892.47	8327	58.13	58.03	8327	0	57.44	58.03	54.7795	60.1072	55.3864	60.7671
ENSG00000271426.1	ENST00000603234.1	646	397.95	0	0	0	0	0	0.03	0.03	2.38E-07	0.097256	2.41E-07	0.0983
ENSG00000226263.1	ENST00000431407.1	652	403.95	7	0.23	0.23	7	0	0.26	0.26	0.0947822	0.437805	0.096651	0.443401
ENSG00000225956.1	ENST00000420044.1	446	198.03	0	0	0	0	0	0.07	0.07	4.07E-07	0.196059	4.11E-07	0.198185
ENSG00000236811.1	ENST00000432206.1	998	749.92	0	0	0	0	0	0.02	0.02	7.87E-07	0.0514939	7.95E-07	0.05205
ENSG00000221328.1	ENST00000408401.1	94	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212247.1	ENST00000390945.1	109	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230935.1	ENST00000456781.1	192	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234187.1	ENST00000418670.1	937	688.92	0	0	0	0	0	0.02	0.02	2.13E-07	0.0565118	2.15E-07	0.0571278
ENSG00000239923.2	ENST00000493457.2	290	42.57	0	0	0	0	0	0.31	0.31	1.79E-06	0.914792	1.81E-06	0.924468
ENSG00000199570.1	ENST00000362700.1	106	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227563.1	ENST00000427702.1	440	192.03	0	0	0	0	0	0.07	0.07	8.71E-07	0.203679	8.81E-07	0.20593
ENSG00000124103.8	"ENST00000371328.3,ENST00000481560.1"	788.5	540.43	0	0	0	0.01	0.1	0.05	0.05	0.00106821	0.123909	0.00107983	0.125266
ENSG00000227927.2	"ENST00000448536.1,ENST00000605675.1"	620	371.96	0	0	0	0	0	0.07	0.07	0.00153767	0.170927	0.00155491	0.1728
ENSG00000213950.2	ENST00000430953.1	494	246	0	0	0	0	0	0.05	0.05	2.60E-06	0.156905	2.63E-06	0.15862
ENSG00000088882.7	ENST00000380605.2	2391	2142.92	44	0.27	0.27	44	0	0.27	0.28	0.195838	0.354877	0.198649	0.359387
ENSG00000235914.1	"ENST00000439451.1,ENST00000455291.1"	946.5	698.43	0	0	0	0	0	0.04	0.05	0.000719488	0.112362	0.000727348	0.11358
ENSG00000213714.1	ENST00000371325.1	694	445.94	10	0.3	0.3	10	0	0.32	0.32	0.149913	0.520346	0.151528	0.526
ENSG00000237832.1	ENST00000441428.1	371	123.1	0	0	0	0	0	0.11	0.11	1.20E-06	0.317111	1.21E-06	0.320483
ENSG00000199803.1	ENST00000362933.1	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201180.1	ENST00000364310.1	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222500.1	ENST00000410568.1	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225181.1	ENST00000453972.1	519	270.99	0	0	0	0	0	0.05	0.05	5.85E-07	0.144224	5.92E-07	0.14576
ENSG00000212111.2	ENST00000390822.2	89	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224274.1	ENST00000392855.2	326	78.18	0	0	0	0	0	0.17	0.17	2.64E-06	0.497417	2.67E-06	0.502856
ENSG00000225622.1	ENST00000438507.1	471	223.01	0	0	0	0	0	0.06	0.06	5.59E-06	0.173477	1.76E-08	0.17531
ENSG00000221448.1	ENST00000408521.1	95	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226229.2	ENST00000457002.1	361	113.12	0	0	0	0	0	0.12	0.12	5.90E-06	0.349646	2.10E-06	0.353416
ENSG00000200494.1	ENST00000363624.1	102	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235208.2	ENST00000443141.2	297	49.36	0	0	0	0	0	0.26	0.27	1.36E-06	0.781207	1.37E-06	0.789435
ENSG00000228809.1	ENST00000425939.1	1101	852.92	0	0	0	0	0	0.02	0.02	6.31E-07	0.0459594	6.39E-07	0.0464632
ENSG00000236985.1	ENST00000422574.1	833	584.92	0	0	0	0	0	0.02	0.02	5.45E-07	0.0673081	5.51E-07	0.0680112
ENSG00000212165.1	ENST00000390863.1	202	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251955.1	ENST00000516146.1	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000220540.1	ENST00000402970.1	211	1.01	0	0	0	0	0	12.84	12.97	6.62E-05	38.4612	6.69E-05	38.8741
ENSG00000238833.1	ENST00000458943.1	161	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232241.1	ENST00000378574.2	347	99.14	1	0.13	0.13	1	0	0.26	0.27	0.00441568	0.625443	0.00443623	0.631961
ENSG00000232333.1	ENST00000457576.1	465	217.02	0	0	0	0	0	0.06	0.06	2.57E-06	0.179542	2.60E-06	0.18151
ENSG00000202260.1	ENST00000365390.1	305	57.25	0	0	0	0	0	0.23	0.23	1.34E-05	0.684189	1.36E-05	0.691688
ENSG00000230495.1	ENST00000434165.1	553	304.98	0	0	0	0	0	0.04	0.04	8.96E-07	0.128568	9.05E-07	0.129948
ENSG00000221220.1	ENST00000408293.1	146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233625.1	ENST00000425405.1	632	383.95	0	0	0	0	0	0.03	0.03	1.53E-06	0.10108	1.55E-06	0.102172
ENSG00000212555.1	ENST00000391253.1	100	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087510.5	"ENST00000201031.2,ENST00000416606.1,ENST00000544508.1"	1674	1425.95	0	0	0	0	0	0.07	0.07	0.00233354	0.181664	0.00245756	0.183691
ENSG00000212232.1	ENST00000390930.1	237	5.81	0	0	0	0	0	2.24	2.27	0.000100682	6.70619	0.000101765	6.7799
ENSG00000218902.3	ENST00000447474.1	330	82.17	0	0	0	0	0	0.16	0.16	1.30E-05	0.473471	1.32E-05	0.478624
ENSG00000229262.1	ENST00000429853.1	400	152.07	0	0	0	0	0	0.09	0.09	2.34E-06	0.253076	2.36E-06	0.255782
ENSG00000227343.1	ENST00000439981.1	600	351.96	0	0	0	0	0	0.04	0.04	9.01E-07	0.111821	9.10E-07	0.113046
ENSG00000124203.5	ENST00000371030.2	9404	9155.92	0	0	0	0	0	0	0	2.49E-08	0.0042623	2.52E-08	0.00430876
ENSG00000101470.5	"ENST00000372555.3,ENST00000372557.1"	745	496.93	0	0	0	0	0	0.05	0.05	0.00140321	0.125074	0.00141854	0.126433
ENSG00000252597.1	ENST00000516788.1	62	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207282.1	ENST00000384552.1	113	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251713.1	ENST00000515904.1	85	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232943.1	ENST00000432363.1	400	152.07	0	0	0	0	0	0.09	0.09	4.45E-07	0.255377	4.49E-07	0.258274
ENSG00000266720.1	ENST00000579715.1	296	48.38	0	0	0	0	0	0.27	0.27	1.86E-05	0.799287	1.88E-05	0.807971
ENSG00000252635.1	ENST00000516826.1	190	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199719.1	ENST00000362849.1	309	61.23	0	0	0	0	0	0.21	0.21	1.04E-06	0.641553	1.05E-06	0.64871
ENSG00000237259.1	ENST00000436848.1	258	15.98	0	0	0	0	0	0.81	0.82	2.89E-05	2.48256	2.92E-05	2.51034
ENSG00000230010.1	"ENST00000412241.1,ENST00000457009.1"	1472.5	1224.47	0	0	0	0	0	0.07	0.07	0.000322986	0.193232	0.000157659	0.195165
ENSG00000252403.1	ENST00000516594.1	97	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237282.3	"ENST00000423033.1,ENST00000594642.1"	718.5	470.44	0	0	0	0	0	0.06	0.06	0.000818557	0.130321	0.000818873	0.131718
ENSG00000236474.1	ENST00000416567.1	1295	1046.92	0	0	0	0	0	0.01	0.01	3.02E-07	0.0372434	3.06E-07	0.0376431
ENSG00000252422.1	ENST00000516613.1	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265137.1	ENST00000584920.1	77	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225419.1	ENST00000395517.2	478	230.01	0	0	0	0	0	0.06	0.06	7.29E-07	0.16937	7.37E-07	0.171236
ENSG00000124205.11	"ENST00000311585.7,ENST00000337938.2,ENST00000371025.3,ENST00000371028.2,ENST00000395654.3"	2231.8	1983.72	0	0	0	0	0	0.04	0.04	0.00788707	0.074918	0.00797685	0.0757449
ENSG00000214612.3	ENST00000415286.1	434	186.04	0	0	0	0	0	0.07	0.07	9.51E-07	0.210603	9.61E-07	0.212848
ENSG00000264134.1	ENST00000578930.1	77	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232388.2	"ENST00000411646.1,ENST00000435844.1,ENST00000608034.1"	504.22	256.21	1387	71.51	71.4	1387	0	70.62	71.36	66.9277	74.3201	67.6626	75.1265
ENSG00000198326.8	"ENST00000361033.1,ENST00000380585.1,ENST00000554164.1"	2109.67	1861.6	0	0	0	0	0	0.05	0.05	0.00251005	0.13555	0.00256154	0.137017
ENSG00000243702.2	ENST00000494527.2	288	40.66	0	0	0	0	0	0.32	0.32	3.18E-06	0.964613	3.22E-06	0.975202
ENSG00000221806.1	ENST00000408879.1	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232136.2	ENST00000431038.2	689	440.94	0	0	0	0	0	0.03	0.03	1.20E-06	0.0873763	1.22E-06	0.0883153
ENSG00000233993.1	ENST00000428285.1	1695	1446.92	0	0	0	0	0	0.01	0.01	1.06E-07	0.0265576	1.07E-07	0.026848
ENSG00000241690.3	ENST00000380593.4	1866	1617.92	0	0	0	0	0	0.01	0.01	2.86E-08	0.0237433	2.90E-08	0.0240035
ENSG00000233324.1	ENST00000419888.1	1267	1018.92	0	0	0	0	0	0.01	0.01	2.97E-07	0.0383552	3.00E-07	0.0387666
ENSG00000101144.8	"ENST00000395863.3,ENST00000395864.3,ENST00000433911.1,ENST00000450594.2,ENST00000460817.1,ENST00000463939.1,ENST00000476877.1,ENST00000524700.1,ENST00000530870.1"	1244	998.29	0	0	0	0	0	3.39	3.43	0.0748699	9.60125	0.0757083	9.70916
ENSG00000179935.5	"ENST00000412553.1,ENST00000454749.1,ENST00000455340.1"	1136.67	888.59	0	0	0	0	0	0.05	0.05	0.00500936	0.120492	0.0052078	0.121979
ENSG00000258713.2	"ENST00000380589.4,ENST00000603872.1"	655	406.95	0	0	0	0	0	0.07	0.07	0.00132298	0.159458	0.00133774	0.161198
ENSG00000273148.1	ENST00000609087.1	1539	1290.92	81	0.83	0.83	81	0	0.83	0.84	0.652362	1.00701	0.659035	1.01752
ENSG00000264669.1	ENST00000584556.1	123	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235996.1	ENST00000446849.1	366	118.11	0	0	0	0	0	0.11	0.11	2.08E-07	0.328787	2.11E-07	0.332303
ENSG00000179447.2	ENST00000319682.2	1789	1540.92	0	0	0	0	0	0.01	0.01	6.24E-08	0.0254445	6.30E-08	0.0257145
ENSG00000221748.1	ENST00000408821.1	77	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216017.2	ENST00000401198.2	91	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232675.3	"ENST00000435992.2,ENST00000593770.1,ENST00000598694.1,ENST00000600889.1,ENST00000608187.1,ENST00000608476.1,ENST00000609610.1,ENST00000609846.1"	660.38	412.61	0	0	0	0	0	0.74	0.75	0.114274	1.73742	0.115517	1.75633
ENSG00000239120.1	ENST00000459075.1	94	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233895.1	"ENST00000412571.1,ENST00000426012.1,ENST00000432334.1"	459.67	211.9	0	0	0	0	0	0.44	0.44	0.0132324	1.10728	0.0136058	1.11944
ENSG00000236992.1	"ENST00000424633.1,ENST00000454660.1"	498	250	1	0.05	0.05	1	0	0.16	0.16	0.0155898	0.3294	0.015113	0.332342
ENSG00000241054.1	ENST00000470758.1	433	185.04	0	0	0	0	0	0.07	0.07	1.76E-06	0.210577	1.78E-06	0.21283
ENSG00000225417.1	ENST00000443692.1	282	35.06	0	0	0	0	0	0.37	0.38	1.41E-05	1.11358	1.42E-05	1.12546
ENSG00000229500.1	ENST00000445304.1	536	287.98	0	0	0	0	0	0.05	0.05	1.78E-06	0.134879	1.80E-06	0.136367
ENSG00000243810.1	ENST00000460400.1	568	319.97	0	0	0	0	0	0.04	0.04	7.88E-07	0.122895	7.97E-07	0.124214
ENSG00000264879.1	ENST00000582087.1	257	15.35	0	0	0	0	0	0.85	0.86	3.54E-06	2.54477	3.58E-06	2.57209
ENSG00000213384.2	ENST00000393781.2	255	14.12	0	0	0	0	0	0.92	0.93	1.64E-05	2.78575	1.65E-05	2.81598
ENSG00000270793.1	ENST00000603571.1	367	119.11	0	0	0	0	0	0.11	0.11	1.10E-07	0.326364	1.12E-07	0.329954
ENSG00000264361.1	ENST00000461220.2	297	49.36	0	0	0	0	0	0.26	0.27	3.85E-06	0.788493	3.90E-06	0.797156
